575.08,430.34
415.52,39.98
0.06,536.37
287.55,386.49
515.88,27.96
230.81,54.45
428.12,67.81
219.29,50.25
176.57,418.36
250.77,283.43
496.14,339.47
309.85,510.84
420.17,379.63
407.33,507.54
19.40,370.53
346.89,199.84
449.03,467.50
590.68,308.10
317.78,588.38
270.20,285.55
446.46,501.15
18.56,424.03
290.09,475.78
345.44,73.54
318.55,60.70
259.26,268.36
544.81,34.41
460.06,159.49
88.23,428.24
481.45,554.39
41.14,313.06
460.32,72.22
156.70,96.26
277.25,544.45
251.61,157.60
368.32,160.60
106.21,116.96
390.13,475.46
96.02,228.57
277.14,91.58
214.05,95.65
523.48,411.45
120.41,166.91
82.95,37.92
111.77,111.38
10.57,229.78
442.70,376.24
574.93,6.53
225.33,219.98
502.06,514.52
534.51,190.93
7.18,330.42
72.25,138.12
373.98,333.58
564.44,176.12
251.69,24.60
511.60,27.90
387.93,417.94
29.93,146.50
87.15,83.53
237.35,545.48
521.82,196.99
172.30,380.38
430.92,504.49
240.22,598.51
452.89,463.27
332.58,576.16
61.68,564.78
431.93,121.90
245.54,542.33
418.47,318.31
274.33,491.36
350.75,298.45
143.85,89.12
83.15,104.87
529.84,319.68
560.63,139.05
212.48,133.45
168.61,189.13
447.99,569.20
298.73,520.83
318.69,191.37
65.51,77.18
573.01,396.66
344.90,318.51
344.80,328.45
175.08,175.37
317.81,34.80
582.84,235.98
10.27,15.26
179.42,596.90
542.68,463.31
478.89,66.04
32.44,141.10
178.16,52.48
501.31,410.34
384.30,574.55
537.03,270.08
157.31,545.96
428.42,127.82
35.76,385.58
449.98,329.65
456.88,562.09
414.53,404.42
321.40,86.34
156.43,464.60
435.04,162.67
322.02,204.96
174.45,37.01
330.68,387.16
426.11,219.68
173.56,349.65
348.88,579.28
55.11,430.16
1.71,514.83
588.23,196.83
132.36,62.18
20.05,148.70
186.98,265.24
88.04,222.73
67.75,198.17
205.04,426.93
302.54,233.79
281.49,113.26
591.19,149.25
545.29,435.35
150.84,312.34
388.16,70.93
566.27,359.94
54.22,122.80
566.98,407.69
298.33,138.74
546.82,351.80
486.06,482.88
194.13,269.17
585.15,572.38
583.85,510.90
38.95,246.74
520.58,370.26
599.32,214.61
423.70,177.96
579.16,68.18
497.86,102.66
206.37,531.77
417.50,200.02
95.28,183.91
205.93,308.21
30.47,217.83
219.08,266.95
253.21,573.39
226.01,384.57
75.98,472.10
141.28,529.47
565.80,282.15
336.73,188.08
557.90,502.26
548.75,556.59
223.98,497.27
526.61,140.28
88.01,323.92
299.99,249.94
237.81,501.14
599.81,326.82
401.03,383.75
403.25,114.52
131.49,130.90
252.42,465.15
132.86,569.33
65.04,114.87
473.15,263.13
74.88,211.76
288.91,259.92
343.95,576.56
567.07,521.78
94.32,270.92
341.29,588.22
135.59,381.77
133.12,219.14
141.12,138.39
74.37,539.71
564.55,348.00
409.62,289.04
252.06,176.48
483.99,86.87
275.69,120.81
46.99,176.32
45.93,12.00
270.46,578.93
233.72,210.10
290.15,197.61
328.39,144.03
357.28,258.61
519.82,90.40
254.07,131.81
561.75,20.38
423.04,98.04
390.37,277.66
456.62,380.90
70.38,483.01
517.08,23.39
335.68,66.53
583.12,205.95
254.22,550.25
547.55,420.09
468.14,326.52
522.47,493.11
387.50,233.80
228.55,35.72
307.26,206.29
227.77,268.16
238.00,311.50
498.53,301.24
449.66,407.89
1.12,558.99
391.75,445.44
234.89,222.97
260.40,360.86
573.48,549.37
171.52,288.17
310.52,578.35
244.24,124.48
107.20,93.46
454.15,113.41
114.86,457.30
48.17,55.45
230.17,147.53
539.08,441.89
458.81,192.08
383.59,15.12
25.20,493.82
31.84,434.88
334.34,32.72
502.14,486.35
525.29,268.73
575.66,487.73
4.17,176.68
489.80,69.57
263.77,272.90
575.85,256.18
487.10,566.91
230.63,249.46
574.02,399.51
232.47,68.67
239.87,256.70
55.95,319.93
456.39,256.21
390.36,2.08
256.84,389.69
515.27,489.71
448.17,423.77
411.03,159.41
468.54,202.70
145.96,366.82
569.13,459.37
477.10,485.81
480.23,372.98
21.24,92.83
24.04,566.90
114.72,243.59
138.52,418.03
551.69,72.77
494.98,313.72
204.94,348.56
137.18,159.93
555.13,3.52
573.10,372.86
474.67,101.66
3.71,485.76
135.51,320.69
245.34,365.98
148.93,489.50
147.60,364.31
328.83,258.15
402.06,321.20
4.87,117.92
32.56,240.79
120.77,85.68
171.95,551.37
302.87,484.10
409.32,329.00
320.69,172.32
551.63,226.74
376.92,508.96
141.75,259.84
376.15,274.06
209.95,467.59
196.86,336.96
571.77,524.93
341.19,174.07
200.07,82.14
206.54,435.27
193.64,337.85
360.99,345.02
66.91,170.46
19.68,92.91
96.01,527.04
208.65,267.58
407.56,557.75
436.25,576.18
116.37,526.16
327.41,545.80
562.13,515.21
394.21,586.44
304.34,23.18
205.32,455.07
579.37,544.25
111.42,588.91
241.33,375.22
448.93,96.28
394.74,73.62
151.40,578.58
582.96,47.85
526.73,481.05
486.61,173.50
201.01,461.77
308.03,2.25
429.63,14.50
183.26,299.91
597.50,508.70
480.98,235.08
543.22,245.13
203.12,192.52
587.99,450.22
423.29,216.56
454.67,426.84
520.31,324.76
430.08,507.29
91.41,539.12
145.24,493.99
112.11,68.65
451.55,42.04
126.61,152.35
467.50,54.00
94.78,579.90
141.06,526.93
382.80,517.07
560.70,206.25
394.26,198.97
92.95,346.54
185.93,418.15
192.97,40.43
258.08,242.79
88.19,378.36
479.91,7.69
288.77,148.07
142.03,58.85
440.96,489.83
13.81,172.21
52.26,111.51
347.49,219.12
7.98,30.72
445.31,581.60
471.90,555.48
450.57,97.25
131.08,75.04
475.76,232.93
518.39,366.68
169.44,325.91
323.95,518.01
82.18,183.06
440.01,213.70
595.99,147.42
211.28,91.42
80.95,398.67
291.33,19.07
577.45,153.81
301.89,418.31
376.68,532.07
17.03,441.99
153.10,186.49
7.15,282.14
34.61,260.11
346.67,235.01
239.16,43.76
350.98,73.93
74.58,106.32
72.60,225.09
60.37,66.70
319.18,29.73
427.49,536.22
156.74,555.03
186.25,244.21
243.37,548.03
201.41,417.64
506.78,214.28
277.52,269.80
559.62,274.88
460.59,214.50
386.36,547.21
582.11,95.63
